DANH SÁCH TÀI LIỆU SỐ - THƯ VIỆN QNU;;;;;;;;;;;;;
STT;Tiêu đề;Tác giả;Tác giả phụ;Năm xuất bản;Nhà xuất bản;Chủ đề;Chuyên ngành;Học phần;Loại tài liệu;Kiểu tài liệu;Ngôn ngữ;Link URL;Ghi chú
61;Giáo trình Cờ Vua;Lê Văn Tiền, Nguyễn Văn Tri;;2010;TDTT;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=38;KHÔNG CÓ FILE
62;Giáo trình Cờ Vua;Lê Văn Tiền, Nguyễn Văn Tri;;2010;TDTT;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=38;KHÔNG CÓ FILE
63;Giáo trình Đá cầu;ThS. Nguyễn Hữu Thái;;2011;TDTT;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=40;KHÔNG CÓ FILE
64;Giáo trình Đá cầu;ThS. Nguyễn Hữu Thái;;2011;TDTT;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=40;KHÔNG CÓ FILE
65;Giáo trình Đá cầu;ThS. Nguyễn Hữu Thái;;2011;TDTT;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=40;KHÔNG CÓ FILE
66;Giáo trình Đá cầu;ThS. Nguyễn Hữu Thái;;2011;TDTT;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=40;KHÔNG CÓ FILE
67;Giáo Trình Taekwondo;;;;TDTT Hà Nội;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=42;KHÔNG CÓ FILE
68;Giáo Trình Taekwondo;;;;TDTT Hà Nội;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=42;KHÔNG CÓ FILE
69;Lý luận và phương pháp TDTT;;;2008;TDTT, Hà Nội;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=43;KHÔNG CÓ FILE
70;Lý luận và phương pháp TDTT;;;2008;TDTT, Hà Nội;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=43;KHÔNG CÓ FILE
71;Lý luận và phương pháp TDTT;;;2008;TDTT, Hà Nội;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=43;KHÔNG CÓ FILE
72;Lý luận và phương pháp TDTT;;;2008;TDTT, Hà Nội;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=43;KHÔNG CÓ FILE
73;Võ cổ truyền;Nguyễn Thành Ngọc;;2015;ĐHQG TPHCM;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=44;KHÔNG CÓ FILE
74;Võ cổ truyền;Nguyễn Thành Ngọc;;2015;ĐHQG TPHCM;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=44;KHÔNG CÓ FILE
75;Võ cổ truyền;Nguyễn Thành Ngọc;;2015;ĐHQG TPHCM;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=44;KHÔNG CÓ FILE
76;Võ cổ truyền;Nguyễn Thành Ngọc;;2015;ĐHQG TPHCM;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=44;KHÔNG CÓ FILE
77;Võ cổ truyền Việt Nam (tập 1, 2);Lê Kim Hòa;;2011;NXB Trẻ;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=45;KHÔNG CÓ FILE
78;Võ cổ truyền Việt Nam (tập 1, 2);Lê Kim Hòa;;2011;NXB Trẻ;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=45;KHÔNG CÓ FILE
79;Võ cổ truyền Việt Nam (tập 1, 2);Lê Kim Hòa;;2011;NXB Trẻ;Giáo dục thể chất;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=45;KHÔNG CÓ FILE
